date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:46	22932/22932	---MCZ	200	added ('OK')	text/html	etag:W/%2256b74e7d-5994%22	http://demo.deviserweb.com/cv/index.html	E:/Web/CV%20VANh/demo.deviserweb.com/cv/index.html	(from )
18:06:46	65/65	---M--	200	added ('OK')	text/plain	etag:%2254f9e988-41%22	http://demo.deviserweb.com/robots.txt		(from )
18:06:46	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2256b74ec0-47e%22	http://demo.deviserweb.com/cv/assets/images/favicon.ico	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/favicon.ico	(from http://demo.deviserweb.com/cv/index.html)
18:06:47	7884/7884	---M--	200	added ('OK')	image/png	etag:%2256b74eb3-1ecc%22	http://demo.deviserweb.com/cv/assets/images/apple-icon-72x72.png	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/apple-icon-72x72.png	(from http://demo.deviserweb.com/cv/index.html)
18:06:47	1432/1432	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22598-510a25ba77200%22	http://demo.deviserweb.com/cv/assets/images/apple-icon-76x76.png	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/apple-icon-76x76.png	(from http://demo.deviserweb.com/cv/index.html)
18:06:48	138778/138778	---MCZ	200	added ('OK')	text/css	etag:W/%2256b74e89-21e1a%22	http://demo.deviserweb.com/cv/assets/css/materialize.min.css	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/css/materialize.min.css	(from http://demo.deviserweb.com/cv/index.html)
18:06:49	14380/14380	---M--	200	added ('OK')	image/png	etag:%2256b74eb0-382c%22	http://demo.deviserweb.com/cv/assets/images/apple-icon-114x114.png	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/apple-icon-114x114.png	(from http://demo.deviserweb.com/cv/index.html)
18:06:49	68348/68348	---MCZ	200	added ('OK')	text/css	etag:W/%2256b74e85-10afc%22	http://demo.deviserweb.com/cv/assets/css/animate.css	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/css/animate.css	(from http://demo.deviserweb.com/cv/index.html)
18:06:49	20787/20787	---MCZ	200	added ('OK')	text/css	etag:W/%2256b74f2d-5133%22	http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/css/font-awesome.min.css	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/css/font-awesome.min.css	(from http://demo.deviserweb.com/cv/index.html)
18:06:49	12531/12531	---MCZ	200	added ('OK')	text/css	etag:W/%2256b74e8d-30f3%22	http://demo.deviserweb.com/cv/assets/css/style.css	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/css/style.css	(from http://demo.deviserweb.com/cv/index.html)
